"Gene","ModuleColor"
"CCT5.12569.25.3",1
"ARL3.12571.14.3",1
"EFS.12572.236.3",0
"TRIM3.12573.80.3",1
"EDN2.12574.36.3",0
"MTHFD1.12575.30.3",1
"MAGEA3.12576.21.3",0
"FEN1.12577.100.3",1
"ARF3.12578.13.3",0
"PSMB5.12580.7.3",2
"IMPA2.12581.39.3",0
"ARAF.12583.77.3",1
"ERCC1.12585.39.3",2
"ARL2.12587.65.3",7
"OPHN1.12591.27.3",1
"PDRG1.12593.33.3",1
"GCA.12594.5.3",3
"TMOD1.12595.11.3",0
"ATG5.12597.68.3",1
"FERMT3.12599.10.3",1
"PABPC4.12603.87.3",1
"SCMH1.12604.16.3",0
"EXOSC3.12605.1.3",0
"PSMB1.12612.37.3",4
"NRBP1.12616.45.3",2
"STK24.12617.2.3",1
"AKR1C1.12618.50.3",0
"PPM1A.12619.14.3",1
"SEPTIN11.12620.3.3",0
"PPP2R1A.12621.55.3",1
"ASH1L.12622.96.3",0
"JARID2.12623.84.3",2
"KLHL7.12625.138.3",0
"SENP7.12626.6.3",0
"ATG7.12627.97.3",1
"LANCL2.12628.31.3",1
"ARFIP2.12630.8.3",0
"NAT1.12632.14.3",2
"PTPN9.12633.3.3",0
"BCAR3.12634.79.3",3
"TRDMT1.12635.9.3",1
"SMYD2.12636.113.3",0
"CRAT.12637.7.3",1
"INPP5B.12641.3.3",1
"ARRB1.12643.4.3",1
"ADSS2.12644.63.3",3
"RPE.12646.2.3",1
"SETD2.12647.52.3",0
"GNAI3.12650.43.3",1
"PDK2.12651.21.3",0
"AHCYL1.12652.37.3",1
"CSNK1G2.12653.13.3",0
"NAPB.12655.30.3",2
"KLC1.12656.1.3",1
"TSTA3.12657.2.3",0
"PANK3.12658.72.3",1
"OLA1.12659.13.3",1
"GABARAPL1.12661.44.3",1
"ECH1.12662.82.3",1
"TST.12663.1.3",3
"PTPN13.12664.19.3",0
"ILF2.12665.16.3",0
"GDA.12667.2.3",3
"VPS4B.12668.7.3",2
"HECW1.12669.30.3",1
"RAD1.12670.15.3",0
"SULT1B1.12671.35.3",1
"DARS1.12675.14.3",1
"PACSIN1.12676.1.3",1
"FLII.12677.164.3",1
"SNRPA.12678.66.3",3
"USP21.12681.63.3",2
"KYAT3.12682.5.3",1
"DPYSL5.12683.156.3",0
"SCIN.12684.5.3",1
"HOMER2.12685.57.3",1
"MPST.12686.15.3",1
"DECR1.12687.2.3",1
"RPS6KA6.12688.115.3",1
"ARPC1B.12689.56.3",1
"SEPTIN10.12690.33.3",2
"SHMT2.12691.44.3",1
"DOT1L.12692.56.3",0
"SH3BGRL.12693.2.3",1
"DIMT1.12694.28.3",3
"KLHL12.12695.62.3",0
"PRMT3.12696.166.3",0
"PIP4K2A.12697.30.3",1
"KPNA4.12698.72.3",1
"CCT8.12699.28.3",1
"ACLY.12700.9.3",0
"EIF1B.12701.1.3",1
"PELI2.12702.13.3",0
"NEK7.12703.6.3",1
"SH2D3C.12704.26.3",0
"HERC1.12705.9.3",1
"CDC42BPA.12706.2.3",0
"DPYSL3.12707.26.3",1
"L3MBTL2.12708.91.3",1
"GJA8.12711.19.3",1
"HMG20A.12712.9.3",3
"RGS19.12713.365.3",2
"AP1G2.12714.38.3",1
"DCP1B.12715.30.3",0
"ZNF175.12716.3.3",2
"TOX3.12717.65.3",1
"PIN4.12718.43.3",1
"UBQLN4.12720.71.3",1
"TAX1BP1.12721.4.3",0
"CIRBP.12724.81.3",1
"RFXAP.12726.3.3",0
"PTGFRN.12727.7.3",4
"PSMG3.12729.12.3",1
"NDC80.12730.3.3",2
"PLEKHA7.12731.12.3",0
"MPP7.12732.13.3",3
"KIF22.12734.112.3",0
"CSDE1.12735.39.3",0
"PLS1.12737.12.3",0
"NISCH.12738.43.3",1
"FEV.12740.55.3",1
"TMEM8B.12742.160.3",0
"BAG5.12743.18.3",1
"CYTH4.12746.4.3",1
"RBM3.12747.89.3",1
"BRDT.12748.6.3",2
"ITGB2.12750.9.3",1
"ZHX1.12751.26.3",0
"APBB2.12753.6.3",3
"CSDC2.12754.14.3",1
"BACH2.12756.3.3",0
"GRID2.12758.47.3",3
"ILF3.12759.47.3",3
"ZNF774.12760.34.3",1
"APBB2.12761.12.3",0
"ZNF334.12763.69.3",1
"ELMO1.12764.3.3",0
"GPR142.12766.33.3",0
"PPP1R3B.12768.3.3",0
"ZNF180.12771.19.3",0
"NUP98.12772.8.3",0
"HCN1.12774.12.3",0
"HMGB3.12775.6.3",3
"SF1.12777.11.3",0
"PRDM4.12779.30.3",1
"TARBP2.12781.2.3",1
"HNRNPM.12783.29.3",3
"APBB3.12784.10.3",0
"ZBTB33.12785.49.3",0
"GPCPD1.12786.61.3",1
"ZNF134.12787.47.3",0
"SGF29.12788.6.3",0
"CCDC51.12790.10.3",0
"PIWIL1.12793.4.3",0
"NLRP4.12794.6.3",1
"ZNF566.12795.2.3",1
"NUDT3.12796.44.3",1
"SLC4A8.12798.46.3",1
"DNAJC27.12799.65.3",0
"TPPP2.12800.5.3",4
"IRF2.12801.33.3",3
"ZNF329.12803.9.3",3
